"CONVOCATORIA","SEMESTRE DE CONVOCATORIA","BENEFICIO OTORGADO","DEPARTAMENTO DE NACIMIENTO","MUNICIPIO DE NACIMIENTO","FECHA DE NACIMIENTO","GÉNERO","SUBREGIÓN DE RESIDENCIA","MUNICIPIO DE RESIDENCIA","ESTRATO","GRUPO ETNICO","VICTIMA DEL CONFLICTO ARMADO","UNIVERSIDAD","PROGRAMA CURSADO","MUNICIPIO OFERTA","TIPO DE FORMACIÓN","GRADUADO"
"2,015","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TURBO","1997 Aug 05 12:00:00 AM","MASCULINO","URABA","APARTADO","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNICO PROFESIONAL EN SOP. DE SISTEMAS DE INFORMACION","APARTADO","TECNICA PROFESIONAL","NO"
"2,015","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CAREPA","1998 Jun 13 12:00:00 AM","FEMENINO","URABA","APARTADO","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","NO"
"2,015","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CHIGORODO","1991 Aug 11 12:00:00 AM","FEMENINO","URABA","CAREPA","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1999 Aug 09 12:00:00 AM","FEMENINO","URABA","APARTADO","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CHIGORODO","1998 Mar 23 12:00:00 AM","FEMENINO","URABA","CHIGORODO","ESTRATO 2","AFROCOLOMBIANO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","CORDOBA","CANALETE","1986 Nov 10 12:00:00 AM","FEMENINO","URABA","CAREPA","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CHIGORODO","1995 Jan 25 12:00:00 AM","MASCULINO","URABA","CHIGORODO","ESTRATO 1","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CAREPA","1998 May 28 12:00:00 AM","MASCULINO","URABA","CAREPA","ESTRATO 2","AFROCOLOMBIANO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CAREPA","1998 May 18 12:00:00 AM","MASCULINO","URABA","CAREPA","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","TURBO","1998 Apr 20 12:00:00 AM","MASCULINO","URABA","CAREPA","ESTRATO 1","AFROCOLOMBIANO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION PÚBLICA","APARTADO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ITAGUI","1998 Mar 04 12:00:00 AM","MASCULINO","NORTE","ENTRERRIOS","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD NACIONAL DE COLOMBIA","INGENIERIA EN SISTEMAS E INFORMATICA","MEDELLIN","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ITAGUI","1998 Mar 04 12:00:00 AM","MASCULINO","NORTE","ENTRERRIOS","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD NACIONAL DE COLOMBIA","MATEMATICAS","MEDELLIN","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1998 Jun 23 12:00:00 AM","FEMENINO","BAJO CAUCA","EL BAGRE","ESTRATO 1","AFROCOLOMBIANO","NO","UNIVERSIDAD DE ANTIOQUIA","INGENIERIA AMBIENTAL","MEDELLIN","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","DON MATIAS","1998 Jul 11 12:00:00 AM","FEMENINO","NORTE","DON MATIAS","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","ADMINISTRACION DE EMPRESAS","MEDELLIN","UNIVERSITARIA","SI"
